Muestra;Estacion;MuestraNew;X;Y;Z;Formacion Geologica;Unidad;Litologia;Abreviacion;Uni-Lito;Agua [%];Porosidad [%];Densidad [gr/cm3];Rho Dry [Ohm*m];Rho Wet [Ohm*m];M Dry [mV/V];M Wet [mV/V];Vp [m/s];Peak Load [kN];Is50 [MPa];LF [SI];HF [SI];FD [%];Distancia Falla [m];
LSS-79a;LSS-79;LSS-79a;1100692.75;1242856.87;1191.00;Fm. Tablazo;K1t;biomicrita;Bm;K1t [Bm];3.90;3.11;2.58;2634.70;472.19;2.19;9.99;2004.00;3.30;3.69;4.15E-05;3.74E-05;9.67;476.91;
LSS-79b;LSS-79;LSS-79b;1100692.75;1242856.87;1191.00;Fm. Tablazo;K1t;biomicrita;Bm;K1t [Bm];3.04;0.10;2.51;2078.76;293.81;3.21;12.81;5995.00;5.00;3.80;2.15E-05;1.66E-05;22.57;476.91;
LSS-80a;LSS-80;LSS-80a;1099903.42;1243601.96;1025.00;Fm. Paja;K1p;caliza;Ca;K1p [Ca];1.35;0.92;2.61;552936.80;9937.68;21.50;3.10;5904.00;4.40;4.96;8.20E-06;3.07E-06;62.50;338.92;
LSS-80b;LSS-80;LSS-80b;1099903.42;1243601.96;1025.00;Fm. Paja;K1p;caliza;Ca;K1p [Ca];1.72;8.29;2.78;232926.21;3412.66;7.98;3.22;1260.00;3.80;4.28;7.88E-06;1.24E-05;-57.97;338.92;
LSS-80c;LSS-80;LSS-80c;1099903.42;1243601.96;1025.00;Fm. Paja;K1p;caliza;Ca;K1p [Ca];2.79;0.83;2.61;622279.12;6745.08;13.14;3.44;5272.00;3.20;3.69;2.74E-05;1.91E-05;30.29;338.92;
LSS-80d;LSS-80;LSS-80d;1099903.42;1243601.96;1025.00;Fm. Paja;K1p;caliza;Ca;K1p [Ca];0.86;0.30;2.60;266240.46;7511.75;7.97;2.76;5602.00;3.00;3.48;5.03E-06;4.79E-06;4.77;338.92;
LSS-81a;LSS-81;LSS-81a;1099418.41;1243797.27;982.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.89;0.10;2.58;202529.42;1898.11;7.98;2.61;5393.00;2.90;3.32;7.39E-06;2.76E-06;62.70;361.49;
LSS-81b;LSS-81;LSS-81b;1099418.41;1243797.27;982.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.27;0.11;2.62;119410.40;3670.72;4.99;2.46;5098.00;3.70;3.79;6.43E-06;1.49E-06;76.77;361.49;
LSS-81c;LSS-81;LSS-81c;1099418.41;1243797.27;982.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.53;0.12;2.59;181192.62;6363.72;7.36;2.45;5380.00;2.70;3.13;9.27E-06;8.01E-06;13.64;361.49;
LSS-82a;LSS-82;LSS-82a;1102835.09;1242844.48;1153.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.63;0.16;2.71;10459.12;2731.28;4.09;3.65;1194.00;6.40;7.07;1.96E-04;1.80E-04;8.22;422.39;
LSS-82b;LSS-82;LSS-82b;1102835.09;1242844.48;1153.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.55;0.23;2.70;47578.475;3582.258;9.681;3.597;4843.00;9.60;10.78;2.16E-04;1.96E-04;9.36;422.39;
LSS-83a;LSS-83;LSS-83a;1102299.70;1245266.86;1195.00;Fm. Rosablanca;K1r;arenisca calcarea;Ac;K1r [Ac];10.47;19.59;2.74;148230.65;797.19;20.33;6.41;1372.00;1.50;1.68;2.34E-04;2.14E-04;8.36;360.58;
LSS-83b;LSS-83;LSS-83b;1102299.70;1245266.86;1195.00;Fm. Rosablanca;K1r;arenisca calcarea;Ac;K1r [Ac];6.26;18.57;2.87;440459.41;2932.24;50.54;8.12;3058.00;5.10;5.68;2.22E-04;1.94E-04;12.51;360.58;
LSS-83c;LSS-83;LSS-83c;1102299.70;1245266.86;1195.00;Fm. Rosablanca;K1r;arenisca calcarea;Ac;K1r [Ac];1.29;5.47;2.87;292160.36;2956.38;29.04;3.31;4287.00;9.50;9.58;4.78E-04;4.68E-04;2.08;360.58;
LSS-84a;LSS-84;LSS-84a;1107554.41;1238265.37;1360.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];1.64;1.43;2.69;404.09;175.01;4.51;5.85;1261.00;4.10;4.65;6.83E-05;5.47E-05;19.95;528.10;
LSS-84b;LSS-84;LSS-84b;1107554.41;1238265.37;1360.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];1.67;0.37;2.66;384.18;169.99;5.54;6.34;1251.00;3.20;3.60;6.08E-05;4.88E-05;19.72;528.10;
LSS-84c;LSS-84;LSS-84c;1107554.41;1238265.37;1360.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];2.00;0.21;2.50;693.97;353.97;8.16;8.12;5789.00;6.20;6.21;5.80E-05;4.54E-05;21.67;528.10;
LSS-85a;LSS-85;LSS-85a;1106789.62;1238370.52;1407.00;Fm. Rosablanca;K1r;arenisca calcarea;Ac;K1r [Ac];12.68;9.16;2.38;25642.29;923.63;8.40;8.76;1350.00;1.60;1.68;4.00E-04;3.87E-04;3.29;383.25;
LSS-85b;LSS-85;LSS-85b;1106789.62;1238370.52;1407.00;Fm. Rosablanca;K1r;arenisca calcarea;Ac;K1r [Ac];16.33;32.93;2.93;110223.91;366.77;21.97;6.35;1454.00;0.50;0.58;4.33E-04;4.04E-04;6.69;383.25;
LSS-85c;LSS-85;LSS-85c;1106789.62;1238370.52;1407.00;Fm. Rosablanca;K1r;arenisca calcarea;Ac;K1r [Ac];14.46;26.53;2.79;40362.26;458.59;14.88;6.93;5073.00;1.50;1.68;3.82E-04;3.63E-04;4.90;383.25;
LSS-85d;LSS-85;LSS-85d;1106789.62;1238370.52;1407.00;Fm. Rosablanca;K1r;arenisca calcarea;Ac;K1r [Ac];13.51;19.33;2.65;94643.67;708.15;17.07;6.06;2933.00;1.70;1.91;3.12E-04;2.96E-04;5.12;383.25;
LSS-85e;LSS-85;LSS-85e;1106789.62;1238370.52;1407.00;Fm. Rosablanca;K1r;arenisca calcarea;Ac;K1r [Ac];16.25;13.41;2.27;5822.74;194.55;7.63;9.27;4723.00;0.70;0.72;3.15E-04;2.73E-04;13.23;383.25;
LSS-85f;LSS-85;LSS-85f;1106789.62;1238370.52;1407.00;Fm. Rosablanca;K1r;arenisca calcarea;Ac;K1r [Ac];16.54;23.12;2.70;52969.92;867.227;14.147;8.842;1767.00;1.80;1.83;3.96E-04;3.70E-04;6.67;383.25;
LSS-86a;LSS-86;LSS-86a;1105311.69;1237639.21;1333.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];0.85;0.23;2.73;16660.19;1238.31;4.42;8.25;4745.00;3.00;3.40;3.64E-05;8.91E-06;75.50;429.34;
LSS-86b;LSS-86;LSS-86b;1105311.69;1237639.21;1333.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];1.96;2.11;2.66;17409.41;1669.84;3.39;6.00;5426.00;2.80;3.17;4.69E-05;2.87E-05;38.85;429.34;
LSS-87a;LSS-87;LSS-87a;1103949.12;1240990.96;1241.00;Fm. Rosablanca;K1r;lodo calcareo;Lc;K1r [Lc];8.96;0.35;2.58;311.92;63.53;3.04;5.14;1651.00;1.10;1.27;8.18E-05;5.86E-05;28.42;110.12;
