X,Z,coorX,coorY,coorZ,formacion,corte
4193.097696,175.1953093,1102937.332,1255536.775,175.1953093,Jordan,B
4055.329094,333.2331324,1102809.149,1255486.283,333.2331324,Jordan,B
3892.587332,407.5315881,1102657.732,1255426.638,407.5315881,Jordan,B
3826.096292,579.5755223,1102595.867,1255402.269,579.5755223,Jordan,B
3645.873317,235.2564208,1102428.185,1255336.217,235.2564208,Jordan,B
3349.317037,90.85143282,1102152.263,1255227.529,90.85143282,Jordan,B
3146.306053,165.1201586,1101963.378,1255153.125,165.1201586,Jordan,B
3063.16624,281.3378479,1101886.024,1255122.654,281.3378479,Jordan,B
3108.846313,439.5111074,1101928.525,1255139.396,439.5111074,Jordan,B
2739.867867,332.2619539,1101585.221,1255004.165,332.2619539,Jordan,B
2869.520192,537.0088364,1101705.852,1255051.683,537.0088364,Jordan,B
2506.368817,569.2988686,1101367.97,1254918.587,569.2988686,Jordan,B
2219.905855,573.7385416,1101101.439,1254813.598,573.7385416,Jordan,B
2049.984309,568.9619291,1100943.341,1254751.322,568.9619291,Jordan,B
1669.039557,596.5876621,1100588.904,1254611.705,596.5876621,Jordan,B
1504.320753,559.2567512,1100435.646,1254551.335,559.2567512,Jordan,B
1376.749525,461.4881493,1100316.952,1254504.58,461.4881493,Jordan,B
1217.025353,200.9051119,1100168.342,1254446.041,200.9051119,Jordan,B
1224.517301,66.02692212,1100175.312,1254448.787,66.02692212,Jordan,B
1307.969279,135.8559749,1100252.958,1254479.372,135.8559749,Jordan,B
1303.703031,326.5504996,1100248.988,1254477.809,326.5504996,Jordan,B
1548.544058,382.5452143,1100476.793,1254567.543,382.5452143,Jordan,B
1619.925675,191.9002395,1100543.207,1254593.705,191.9002395,Jordan,B
1519.304649,89.50037162,1100449.588,1254556.827,89.50037162,Jordan,B
1886.826328,61.86472871,1100791.536,1254691.524,61.86472871,Jordan,B
2146.339087,62.05632174,1101032.992,1254786.636,62.05632174,Jordan,B
2599.081675,25.18127013,1101454.231,1254952.567,25.18127013,Jordan,B
2731.023206,127.6042613,1101576.992,1255000.923,127.6042613,Jordan,B
2627.17648,169.3880585,1101480.371,1254962.863,169.3880585,Jordan,B
2426.558758,136.6818069,1101293.713,1254889.337,136.6818069,Jordan,B
2331.660748,178.4722108,1101205.418,1254854.557,178.4722108,Jordan,B
2301.172681,341.2403997,1101177.051,1254843.383,341.2403997,Jordan,B
2523.01759,425.1251136,1101383.46,1254924.689,425.1251136,Jordan,B
2732.271864,471.7912297,1101578.154,1255001.381,471.7912297,Jordan,B
2920.92328,439.3723677,1101753.678,1255070.522,439.3723677,Jordan,B
2530.717648,480.9447518,1101390.624,1254927.511,480.9447518,Jordan,B
2337.904038,499.4070526,1101211.227,1254856.845,499.4070526,Jordan,B
2104.717153,522.4907094,1100994.266,1254771.381,522.4907094,Jordan,B
1800.772979,508.3128252,1100711.471,1254659.986,508.3128252,Jordan,B
1580.592947,350.0107358,1100506.611,1254579.289,350.0107358,Jordan,B
1444.281113,242.9333554,1100379.785,1254529.331,242.9333554,Jordan,B
1519.512759,480.1981997,1100449.781,1254556.903,480.1981997,Jordan,B
1680.485589,484.9682055,1100599.553,1254615.9,484.9682055,Jordan,B
1909.718391,238.6258155,1100812.836,1254699.914,238.6258155,Jordan,B
2159.76216,262.0662317,1101045.481,1254791.555,262.0662317,Jordan,B
2214.599059,410.943926,1101096.502,1254811.653,410.943926,Jordan,B
2691.482368,295.0169296,1101540.202,1254986.432,295.0169296,Jordan,B
2698.141878,397.3474275,1101546.399,1254988.872,397.3474275,Jordan,B
2387.538195,280.8390453,1101257.407,1254875.036,280.8390453,Jordan,B
1959.456603,415.4067223,1100859.113,1254718.143,415.4067223,Jordan,B
1778.089025,322.2495664,1100690.365,1254651.672,322.2495664,Jordan,B
1539.179123,201.1429515,1100468.079,1254564.111,201.1429515,Jordan,B
1400.786192,387.0872904,1100339.316,1254513.39,387.0872904,Jordan,B
1505.361302,512.7458915,1100436.615,1254551.717,512.7458915,Jordan,B
1851.759848,429.2807003,1100758.91,1254678.672,429.2807003,Jordan,B
1729.807581,280.3534561,1100645.443,1254633.977,280.3534561,Jordan,B
1786.829631,131.558345,1100698.498,1254654.875,131.558345,Jordan,B
2076.726402,173.6328351,1100968.223,1254761.123,173.6328351,Jordan,B
1952.693038,317.7273103,1100852.82,1254715.664,317.7273103,Jordan,B
2198.262449,341.1644232,1101081.302,1254805.666,341.1644232,Jordan,B
2466.20365,364.6180527,1101330.599,1254903.867,364.6180527,Jordan,B
2697.309439,234.5561153,1101545.624,1254988.567,234.5561153,Jordan,B
1965.699893,536.3415641,1100864.922,1254720.431,536.3415641,Jordan,B
1750.410439,559.4384342,1100664.613,1254641.528,559.4384342,Jordan,B
5541.440251,506.4233215,1104191.853,1256030.945,506.4233215,Jordan,B
5241.970435,492.2487406,1103913.221,1255921.189,492.2487406,Jordan,B
5097.854488,734.0028078,1103779.133,1255868.37,734.0028078,Jordan,B
5405.440581,785.3926831,1104065.317,1255981.101,785.3926831,Jordan,B
5777.020398,776.3646874,1104411.041,1256117.285,776.3646874,Jordan,B
5835.707325,553.1522008,1104465.645,1256138.794,553.1522008,Jordan,B
5806.988191,236.8519283,1104438.924,1256128.268,236.8519283,Jordan,B
35.48269882,213.9862912,1099069.014,1254013.004,213.9862912,Jordan,B
56.29366587,83.76909737,1099088.377,1254020.632,83.76909737,Jordan,B
190.8365678,69.9149393,1099213.558,1254069.942,69.9149393,Jordan,B
188.4433066,176.8899166,1099211.331,1254069.065,176.8899166,Jordan,B
301.5509125,321.1594682,1099316.568,1254110.519,321.1594682,Jordan,B
323.5064828,339.7803287,1099336.996,1254118.566,339.7803287,Jordan,B
297.492774,102.551821,1099312.793,1254109.031,102.551821,Jordan,B
339.0106532,46.76851928,1099351.421,1254124.248,46.76851928,Jordan,B
455.1358494,56.15657775,1099459.466,1254166.808,56.15657775,Jordan,B
529.3269469,139.9322818,1099528.495,1254193.999,139.9322818,Jordan,B
383.8582872,242.1504666,1099393.148,1254140.685,242.1504666,Jordan,B
378.5514906,279.355851,1099388.211,1254138.74,279.355851,Jordan,B
506.9551573,339.9157651,1099507.68,1254185.8,339.9157651,Jordan,B
648.3656784,219.0899331,1099639.251,1254237.627,219.0899331,Jordan,B
701.5376992,42.38500289,1099688.723,1254257.114,42.38500289,Jordan,B
888.8364027,70.43025849,1099862.989,1254325.76,70.43025849,Jordan,B
1033.576679,200.7696754,1099997.658,1254378.807,200.7696754,Jordan,B
1111.51375,317.1062846,1100070.172,1254407.371,317.1062846,Jordan,B
1047.311917,386.8263275,1100010.437,1254383.841,386.8263275,Jordan,B
783.5329094,377.3292592,1099765.013,1254287.166,377.3292592,Jordan,B
587.389545,344.626311,1099582.518,1254215.279,344.626311,Jordan,B
546.3919399,177.1541828,1099544.373,1254200.253,177.1541828,Jordan,B
482.9184904,214.316624,1099485.316,1254176.99,214.316624,Jordan,B
723.3892146,265.6569494,1099709.054,1254265.123,265.6569494,Jordan,B
895.0796928,191.3651003,1099868.798,1254328.048,191.3651003,Jordan,B
797.9965315,130.8283095,1099778.47,1254292.467,130.8283095,Jordan,B
874.9971096,289.0246924,1099850.113,1254320.688,289.0246924,Jordan,B
905.7973408,312.3032455,1099878.77,1254331.976,312.3032455,Jordan,B
757.8313651,326.1474936,1099741.1,1254277.746,326.1474936,Jordan,B
1020.777934,372.8532496,1099985.75,1254374.116,372.8532496,Jordan,B
1163.541168,391.5633,1100118.579,1254426.439,391.5633,Jordan,B
1058.966058,265.904699,1100021.281,1254388.112,265.904699,Jordan,B
1220.355108,252.0703609,1100171.44,1254447.262,252.0703609,Jordan,B
1143.042365,107.8272359,1100099.507,1254418.926,107.8272359,Jordan,B
1110.889421,145.0128004,1100069.591,1254407.142,145.0128004,Jordan,B
1373.003551,228.9272442,1100313.467,1254503.207,228.9272442,Jordan,B
1434.395904,84.78652242,1100370.587,1254525.708,84.78652242,Jordan,B
1612.954001,103.5229994,1100536.721,1254591.15,103.5229994,Jordan,B
2005.865059,141.02238,1100902.292,1254735.152,141.02238,Jordan,B
2356.737963,57.5604922,1101228.75,1254863.747,57.5604922,Jordan,B
2104.821207,317.8396234,1100994.363,1254771.42,317.8396234,Jordan,B
2151.853993,415.5487654,1101038.123,1254788.657,415.5487654,Jordan,B
2275.991411,466.8032042,1101153.622,1254834.154,466.8032042,Jordan,B
1650.621852,419.8298786,1100571.768,1254604.955,419.8298786,Jordan,B
1625.336527,550.0437691,1100548.242,1254595.688,550.0437691,Jordan,B
1477.058386,377.8412751,1100410.281,1254541.344,377.8412751,Jordan,B
1446.882484,526.6562061,1100382.205,1254530.284,526.6562061,Jordan,B
1556.76439,615.1094227,1100484.441,1254570.556,615.1094227,Jordan,B
1088.621686,340.3451978,1100048.873,1254398.981,340.3451978,Jordan,B
895.2878025,382.0629284,1099868.991,1254328.124,382.0629284,Jordan,B
735.6676852,116.828805,1099720.478,1254269.623,116.828805,Jordan,B
572.3015939,219.0337765,1099568.479,1254209.749,219.0337765,Jordan,B
529.8472211,316.6768519,1099528.979,1254194.19,316.6768519,Jordan,B
766.7800809,326.1541003,1099749.426,1254281.026,326.1541003,Jordan,B
989.1452639,186.7833843,1099956.318,1254362.523,186.7833843,Jordan,B
1172.906103,172.9655628,1100127.292,1254429.872,172.9655628,Jordan,B
1461.970435,52.24874061,1100396.243,1254535.814,52.24874061,Jordan,B
1766.955157,19.91576513,1100680.006,1254647.591,19.91576513,Jordan,B
1857.482864,173.470972,1100764.235,1254680.77,173.470972,Jordan,B
2128.233545,71.34528037,1101016.146,1254780,71.34528037,Jordan,B
2396.486911,80.84565199,1101265.734,1254878.315,80.84565199,Jordan,B
2558.188125,253.058056,1101416.183,1254937.579,253.058056,Jordan,B
2736.746222,471.794533,1101582.317,1255003.021,471.794533,Jordan,B
2868.895863,364.9153522,1101705.271,1255051.454,364.9153522,Jordan,B
2996.467091,262.6839541,1101823.966,1255098.209,262.6839541,Jordan,B
3234.128334,239.6036006,1102045.09,1255185.312,239.6036006,Jordan,B
3853.878933,337.7355686,1102621.717,1255412.451,337.7355686,Jordan,B
3520.175076,453.7682715,1102311.233,1255290.148,453.7682715,Jordan,B
2397.527459,434.3347923,1101266.702,1254878.697,434.3347923,Jordan,B
2699.494591,536.8833099,1101547.657,1254989.368,536.8833099,Jordan,B
2600.746552,350.7638946,1101455.78,1254953.177,350.7638946,Jordan,B
2826.961764,239.3029978,1101666.255,1255036.085,239.3029978,Jordan,B
2767.754563,485.7709142,1101611.167,1255014.385,485.7709142,Jordan,B
2596.896523,522.8540755,1101452.198,1254951.766,522.8540755,Jordan,B
2521.560823,490.2403171,1101382.104,1254924.155,490.2403171,Jordan,B
421.7342473,149.1551738,1099428.389,1254154.566,149.1551738,Jordan,B
295.0995128,209.5267982,1099310.566,1254108.154,209.5267982,Jordan,B
403.6287059,358.4441325,1099411.543,1254147.93,358.4441325,Jordan,B
659.8117103,307.4704765,1099649.9,1254241.822,307.4704765,Jordan,B
764.9070939,209.8736477,1099747.683,1254280.339,209.8736477,Jordan,B
571.0529358,74.84680816,1099567.318,1254209.292,74.84680816,Jordan,B
3732.342885,370.2039805,1102508.637,1255367.908,370.2039805,Jordan,B
3810.279957,86.54058964,1102581.151,1255396.472,86.54058964,Jordan,B
4552.815261,96.39111405,1103272.019,1255668.612,96.39111405,Jordan,B
4827.311917,226.8263275,1103527.416,1255769.216,226.8263275,Jordan,B
4480.601206,524.2447766,1103204.83,1255642.146,524.2447766,Jordan,B
4499.747295,668.4449583,1103222.644,1255649.163,668.4449583,Jordan,B
4899.005698,822.2280948,1103594.121,1255795.492,822.2280948,Jordan,B
4751.976216,594.2125692,1103457.322,1255741.605,594.2125692,Jordan,B
4970.387315,631.58312,1103660.536,1255821.653,631.58312,Jordan,B
5070.279957,966.5405896,1103753.478,1255858.264,966.5405896,Jordan,B
5190.567347,789.8852093,1103865.395,1255902.349,789.8852093,Jordan,B
5331.457594,892.3148072,1103996.482,1255953.986,892.3148072,Jordan,B
5562.147163,780.8572136,1104211.119,1256038.534,780.8572136,Jordan,B
5770.152779,483.3363614,1104404.652,1256114.768,483.3363614,Jordan,B
5808.965232,348.4812949,1104440.763,1256128.993,348.4812949,Jordan,B
6074.721282,269.6077298,1104688.027,1256226.393,269.6077298,Jordan,B
