Linea;Arreglo;X;Y;Z;Resistivity
TRE01;Gradiente;790,28;1558,98;57,48;15,28
TRE01;Gradiente;799,3;1555,59;48,35;15,78
TRE01;Gradiente;808,33;1552,19;47,94;13,73
TRE01;Gradiente;817,35;1548,8;47,5;12,87
TRE01;Gradiente;826,37;1545,41;46,97;12,72
TRE01;Gradiente;844,42;1538,62;46,23;13,88
TRE01;Gradiente;772,23;1565,76;81,81;5,58
TRE01;Gradiente;907,59;1514,88;45,3;11,05
TRE01;Gradiente;681,99;1599,68;59,23;23,7
TRE01;Gradiente;772,23;1565,76;74,27;9,97
TRE01;Gradiente;763,21;1569,15;74,44;16,75
TRE01;Gradiente;754,18;1572,55;74,45;26,9
TRE01;Gradiente;745,16;1575,94;74,33;30,72
TRE01;Gradiente;736,14;1579,33;74,22;19,36
TRE01;Gradiente;727,11;1582,72;74,22;7,72
TRE01;Gradiente;826,37;1545,41;70,41;13,92
TRE01;Gradiente;790,28;1558,98;73,62;8,4
TRE01;Gradiente;700,04;1592,9;74,44;28,55
TRE01;Gradiente;691,02;1596,29;74,18;26,72
TRE01;Gradiente;681,99;1599,68;73,99;38,05
TRE01;Gradiente;672,97;1603,08;74,0;44,76
TRE01;Gradiente;663,95;1606,47;74,14;39,28
TRE01;Gradiente;654,92;1609,86;74,49;11,62
TRE01;Gradiente;645,9;1613,25;75,01;4,75
TRE01;Gradiente;781,26;1562,37;74,02;9,1
